City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,"Landfill Location (Lat, Long)",Landfill Capacity (Tons),Year
Mumbai,Plastic,6610,68,11191,9,Composting,3056,14,Mumbai Landfill,"22.4265, 77.4931",45575,2019
Mumbai,Organic,1181,56,11191,5,Composting,2778,12,Mumbai Landfill,"22.4265, 77.4931",45575,2019
Mumbai,E-Waste,8162,53,11191,8,Incineration,3390,13,Mumbai Landfill,"22.4265, 77.4931",45575,2019
Mumbai,Construction,8929,56,11191,5,Landfill,1498,14,Mumbai Landfill,"22.4265, 77.4931",45575,2019
Mumbai,Hazardous,5032,44,11191,7,Recycling,2221,16,Mumbai Landfill,"22.4265, 77.4931",45575,2019
Mumbai,Plastic,7456,73,11191,9,Landfill,3195,6,Mumbai Landfill,"22.4265, 77.4931",45575,2020
Mumbai,Organic,7118,37,11191,6,Composting,3686,14,Mumbai Landfill,"22.4265, 77.4931",45575,2020
Mumbai,E-Waste,9189,57,11191,10,Landfill,1791,12,Mumbai Landfill,"22.4265, 77.4931",45575,2020
Mumbai,Construction,8609,48,11191,8,Incineration,1681,20,Mumbai Landfill,"22.4265, 77.4931",45575,2020
Mumbai,Hazardous,6632,71,11191,6,Incineration,2311,12,Mumbai Landfill,"22.4265, 77.4931",45575,2020
Mumbai,Plastic,6932,81,11191,10,Incineration,2543,16,Mumbai Landfill,"22.4265, 77.4931",45575,2021
Mumbai,Organic,4171,44,11191,9,Incineration,4756,14,Mumbai Landfill,"22.4265, 77.4931",45575,2021
Mumbai,E-Waste,5095,30,11191,10,Composting,3586,2,Mumbai Landfill,"22.4265, 77.4931",45575,2021
Mumbai,Construction,3514,77,11191,9,Incineration,3520,0,Mumbai Landfill,"22.4265, 77.4931",45575,2021
Mumbai,Hazardous,4505,54,11191,10,Composting,3655,4,Mumbai Landfill,"22.4265, 77.4931",45575,2021
Mumbai,Plastic,2501,41,11191,9,Recycling,1194,4,Mumbai Landfill,"22.4265, 77.4931",45575,2022
Mumbai,Organic,3348,79,11191,6,Incineration,2383,10,Mumbai Landfill,"22.4265, 77.4931",45575,2022
Mumbai,E-Waste,6915,41,11191,9,Incineration,2324,1,Mumbai Landfill,"22.4265, 77.4931",45575,2022
Mumbai,Construction,5862,48,11191,7,Landfill,2867,19,Mumbai Landfill,"22.4265, 77.4931",45575,2022
Mumbai,Hazardous,4856,74,11191,10,Landfill,826,1,Mumbai Landfill,"22.4265, 77.4931",45575,2022
Mumbai,Plastic,6569,48,11191,5,Landfill,4287,16,Mumbai Landfill,"22.4265, 77.4931",45575,2023
Mumbai,Organic,7809,35,11191,8,Recycling,3128,7,Mumbai Landfill,"22.4265, 77.4931",45575,2023
Mumbai,E-Waste,7232,82,11191,6,Landfill,1565,9,Mumbai Landfill,"22.4265, 77.4931",45575,2023
Mumbai,Construction,4039,54,11191,9,Recycling,1252,12,Mumbai Landfill,"22.4265, 77.4931",45575,2023
Mumbai,Hazardous,7077,70,11191,9,Incineration,2850,5,Mumbai Landfill,"22.4265, 77.4931",45575,2023
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,2019
Delhi,Organic,2224,84,14376,10,Landfill,3219,4,Delhi Landfill,"30.2591, 91.9376",74509,2019
Delhi,E-Waste,2395,43,14376,5,Composting,2005,1,Delhi Landfill,"30.2591, 91.9376",74509,2019
Delhi,Construction,1887,80,14376,7,Incineration,4307,4,Delhi Landfill,"30.2591, 91.9376",74509,2019
Delhi,Hazardous,4158,48,14376,5,Composting,4183,6,Delhi Landfill,"30.2591, 91.9376",74509,2019
Delhi,Plastic,763,75,14376,5,Recycling,1337,20,Delhi Landfill,"30.2591, 91.9376",74509,2020
Delhi,Organic,7143,69,14376,9,Landfill,682,16,Delhi Landfill,"30.2591, 91.9376",74509,2020
Delhi,E-Waste,7516,84,14376,5,Composting,620,18,Delhi Landfill,"30.2591, 91.9376",74509,2020
Delhi,Construction,3125,77,14376,8,Recycling,4345,5,Delhi Landfill,"30.2591, 91.9376",74509,2020
Delhi,Hazardous,6574,84,14376,8,Incineration,913,20,Delhi Landfill,"30.2591, 91.9376",74509,2020
Delhi,Plastic,3407,82,14376,10,Composting,2802,4,Delhi Landfill,"30.2591, 91.9376",74509,2021
Delhi,Organic,9617,36,14376,6,Recycling,2676,5,Delhi Landfill,"30.2591, 91.9376",74509,2021
Delhi,E-Waste,1426,38,14376,5,Composting,1674,2,Delhi Landfill,"30.2591, 91.9376",74509,2021
Delhi,Construction,8566,34,14376,8,Landfill,2594,19,Delhi Landfill,"30.2591, 91.9376",74509,2021
Delhi,Hazardous,2873,76,14376,8,Incineration,1904,16,Delhi Landfill,"30.2591, 91.9376",74509,2021
Delhi,Plastic,6770,66,14376,10,Landfill,3496,2,Delhi Landfill,"30.2591, 91.9376",74509,2022
Delhi,Organic,8105,40,14376,8,Recycling,3175,12,Delhi Landfill,"30.2591, 91.9376",74509,2022
Delhi,E-Waste,6564,72,14376,7,Recycling,4437,13,Delhi Landfill,"30.2591, 91.9376",74509,2022
Delhi,Construction,7226,48,14376,8,Incineration,2360,11,Delhi Landfill,"30.2591, 91.9376",74509,2022
Delhi,Hazardous,3464,32,14376,6,Incineration,2523,1,Delhi Landfill,"30.2591, 91.9376",74509,2022
Delhi,Plastic,2397,67,14376,9,Landfill,3644,0,Delhi Landfill,"30.2591, 91.9376",74509,2023
Delhi,Organic,9092,71,14376,6,Landfill,2194,14,Delhi Landfill,"30.2591, 91.9376",74509,2023
Delhi,E-Waste,7257,32,14376,5,Incineration,3259,5,Delhi Landfill,"30.2591, 91.9376",74509,2023
Delhi,Construction,8220,66,14376,6,Incineration,1687,10,Delhi Landfill,"30.2591, 91.9376",74509,2023
Delhi,Hazardous,3054,32,14376,9,Landfill,1135,7,Delhi Landfill,"30.2591, 91.9376",74509,2023
Bengaluru,Plastic,7843,36,18195,10,Incineration,4211,13,Bengaluru Landfill,"15.7581, 85.4837",52609,2019
Bengaluru,Organic,8884,32,18195,6,Incineration,4262,17,Bengaluru Landfill,"15.7581, 85.4837",52609,2019
Bengaluru,E-Waste,2167,61,18195,6,Recycling,4554,0,Bengaluru Landfill,"15.7581, 85.4837",52609,2019
Bengaluru,Construction,4750,31,18195,7,Composting,4444,2,Bengaluru Landfill,"15.7581, 85.4837",52609,2019
Bengaluru,Hazardous,8952,43,18195,5,Recycling,2956,0,Bengaluru Landfill,"15.7581, 85.4837",52609,2019
Bengaluru,Plastic,7075,84,18195,6,Incineration,4993,15,Bengaluru Landfill,"15.7581, 85.4837",52609,2020
Bengaluru,Organic,3653,83,18195,5,Composting,3975,1,Bengaluru Landfill,"15.7581, 85.4837",52609,2020
Bengaluru,E-Waste,5477,40,18195,10,Incineration,3064,14,Bengaluru Landfill,"15.7581, 85.4837",52609,2020
Bengaluru,Construction,6105,83,18195,6,Incineration,2320,18,Bengaluru Landfill,"15.7581, 85.4837",52609,2020
Bengaluru,Hazardous,941,63,18195,5,Landfill,3733,6,Bengaluru Landfill,"15.7581, 85.4837",52609,2020
Bengaluru,Plastic,798,36,18195,8,Incineration,2456,11,Bengaluru Landfill,"15.7581, 85.4837",52609,2021
Bengaluru,Organic,994,51,18195,6,Recycling,2169,15,Bengaluru Landfill,"15.7581, 85.4837",52609,2021
Bengaluru,E-Waste,8114,56,18195,8,Recycling,4323,6,Bengaluru Landfill,"15.7581, 85.4837",52609,2021
Bengaluru,Construction,6555,34,18195,7,Composting,2973,17,Bengaluru Landfill,"15.7581, 85.4837",52609,2021
Bengaluru,Hazardous,4008,47,18195,10,Incineration,3873,5,Bengaluru Landfill,"15.7581, 85.4837",52609,2021
Bengaluru,Plastic,3739,43,18195,5,Recycling,2073,9,Bengaluru Landfill,"15.7581, 85.4837",52609,2022
Bengaluru,Organic,909,54,18195,10,Composting,1000,20,Bengaluru Landfill,"15.7581, 85.4837",52609,2022
Bengaluru,E-Waste,5864,51,18195,9,Landfill,4645,19,Bengaluru Landfill,"15.7581, 85.4837",52609,2022
Bengaluru,Construction,512,65,18195,6,Incineration,3796,17,Bengaluru Landfill,"15.7581, 85.4837",52609,2022
Bengaluru,Hazardous,902,85,18195,7,Landfill,1379,14,Bengaluru Landfill,"15.7581, 85.4837",52609,2022
Bengaluru,Plastic,5280,68,18195,9,Landfill,2386,10,Bengaluru Landfill,"15.7581, 85.4837",52609,2023
Bengaluru,Organic,7135,79,18195,5,Incineration,3919,17,Bengaluru Landfill,"15.7581, 85.4837",52609,2023
Bengaluru,E-Waste,7667,81,18195,6,Landfill,2745,10,Bengaluru Landfill,"15.7581, 85.4837",52609,2023
Bengaluru,Construction,3159,43,18195,10,Recycling,4007,7,Bengaluru Landfill,"15.7581, 85.4837",52609,2023
Bengaluru,Hazardous,5891,59,18195,7,Incineration,2202,15,Bengaluru Landfill,"15.7581, 85.4837",52609,2023
Chennai,Plastic,6159,74,21430,10,Composting,3282,13,Chennai Landfill,"29.4633, 80.8873",65486,2019
Chennai,Organic,6358,53,21430,5,Composting,4225,1,Chennai Landfill,"29.4633, 80.8873",65486,2019
Chennai,E-Waste,6787,50,21430,5,Landfill,1623,7,Chennai Landfill,"29.4633, 80.8873",65486,2019
Chennai,Construction,628,41,21430,10,Recycling,837,7,Chennai Landfill,"29.4633, 80.8873",65486,2019
Chennai,Hazardous,1639,50,21430,9,Composting,3225,19,Chennai Landfill,"29.4633, 80.8873",65486,2019
Chennai,Plastic,1760,68,21430,8,Incineration,2871,18,Chennai Landfill,"29.4633, 80.8873",65486,2020
Chennai,Organic,6805,32,21430,5,Composting,1988,3,Chennai Landfill,"29.4633, 80.8873",65486,2020
Chennai,E-Waste,5763,67,21430,5,Landfill,1453,0,Chennai Landfill,"29.4633, 80.8873",65486,2020
Chennai,Construction,8100,76,21430,9,Incineration,2855,1,Chennai Landfill,"29.4633, 80.8873",65486,2020
Chennai,Hazardous,651,46,21430,8,Recycling,533,7,Chennai Landfill,"29.4633, 80.8873",65486,2020
Chennai,Plastic,4648,60,21430,9,Landfill,1389,0,Chennai Landfill,"29.4633, 80.8873",65486,2021
Chennai,Organic,8394,72,21430,6,Incineration,4236,15,Chennai Landfill,"29.4633, 80.8873",65486,2021
Chennai,E-Waste,4255,31,21430,6,Landfill,3888,17,Chennai Landfill,"29.4633, 80.8873",65486,2021
Chennai,Construction,4259,65,21430,7,Composting,1620,10,Chennai Landfill,"29.4633, 80.8873",65486,2021
Chennai,Hazardous,552,31,21430,7,Incineration,2450,2,Chennai Landfill,"29.4633, 80.8873",65486,2021
Chennai,Plastic,1858,61,21430,5,Incineration,4476,3,Chennai Landfill,"29.4633, 80.8873",65486,2022
Chennai,Organic,5933,71,21430,8,Recycling,3180,20,Chennai Landfill,"29.4633, 80.8873",65486,2022
Chennai,E-Waste,7231,36,21430,7,Incineration,3588,12,Chennai Landfill,"29.4633, 80.8873",65486,2022
Chennai,Construction,8389,79,21430,10,Incineration,3449,20,Chennai Landfill,"29.4633, 80.8873",65486,2022
Chennai,Hazardous,6393,53,21430,7,Landfill,764,16,Chennai Landfill,"29.4633, 80.8873",65486,2022
Chennai,Plastic,4234,44,21430,8,Composting,3634,19,Chennai Landfill,"29.4633, 80.8873",65486,2023
Chennai,Organic,7743,64,21430,7,Recycling,2483,20,Chennai Landfill,"29.4633, 80.8873",65486,2023
Chennai,E-Waste,618,85,21430,6,Incineration,1982,15,Chennai Landfill,"29.4633, 80.8873",65486,2023
Chennai,Construction,4852,69,21430,5,Recycling,4411,8,Chennai Landfill,"29.4633, 80.8873",65486,2023
Chennai,Hazardous,3096,45,21430,8,Composting,896,19,Chennai Landfill,"29.4633, 80.8873",65486,2023
Kolkata,Plastic,7992,32,17335,9,Composting,2038,20,Kolkata Landfill,"16.068, 72.6096",80985,2019
Kolkata,Organic,8041,71,17335,6,Composting,4200,6,Kolkata Landfill,"16.068, 72.6096",80985,2019
Kolkata,E-Waste,812,50,17335,10,Recycling,3118,16,Kolkata Landfill,"16.068, 72.6096",80985,2019
Kolkata,Construction,4954,63,17335,10,Incineration,1135,14,Kolkata Landfill,"16.068, 72.6096",80985,2019
Kolkata,Hazardous,626,53,17335,5,Recycling,4504,6,Kolkata Landfill,"16.068, 72.6096",80985,2019
Kolkata,Plastic,1569,52,17335,10,Composting,2719,4,Kolkata Landfill,"16.068, 72.6096",80985,2020
Kolkata,Organic,6472,74,17335,5,Landfill,3328,14,Kolkata Landfill,"16.068, 72.6096",80985,2020
Kolkata,E-Waste,6409,50,17335,9,Composting,1796,11,Kolkata Landfill,"16.068, 72.6096",80985,2020
Kolkata,Construction,2509,60,17335,5,Composting,2411,20,Kolkata Landfill,"16.068, 72.6096",80985,2020
Kolkata,Hazardous,5709,58,17335,10,Incineration,4414,3,Kolkata Landfill,"16.068, 72.6096",80985,2020
Kolkata,Plastic,3627,67,17335,6,Incineration,4952,16,Kolkata Landfill,"16.068, 72.6096",80985,2021
Kolkata,Organic,9186,35,17335,6,Landfill,4649,9,Kolkata Landfill,"16.068, 72.6096",80985,2021
Kolkata,E-Waste,2735,54,17335,8,Composting,2923,1,Kolkata Landfill,"16.068, 72.6096",80985,2021
Kolkata,Construction,1989,45,17335,7,Recycling,2795,8,Kolkata Landfill,"16.068, 72.6096",80985,2021
Kolkata,Hazardous,2740,34,17335,8,Recycling,1795,7,Kolkata Landfill,"16.068, 72.6096",80985,2021
Kolkata,Plastic,1267,51,17335,7,Incineration,4565,9,Kolkata Landfill,"16.068, 72.6096",80985,2022
Kolkata,Organic,545,61,17335,5,Landfill,4082,13,Kolkata Landfill,"16.068, 72.6096",80985,2022
Kolkata,E-Waste,1714,81,17335,7,Composting,2394,11,Kolkata Landfill,"16.068, 72.6096",80985,2022
Kolkata,Construction,7568,65,17335,5,Incineration,3770,0,Kolkata Landfill,"16.068, 72.6096",80985,2022
Kolkata,Hazardous,8057,32,17335,5,Composting,2400,3,Kolkata Landfill,"16.068, 72.6096",80985,2022
Kolkata,Plastic,6343,80,17335,7,Recycling,1064,17,Kolkata Landfill,"16.068, 72.6096",80985,2023
Kolkata,Organic,1654,71,17335,10,Incineration,2348,11,Kolkata Landfill,"16.068, 72.6096",80985,2023
Kolkata,E-Waste,9639,60,17335,10,Landfill,2743,11,Kolkata Landfill,"16.068, 72.6096",80985,2023
Kolkata,Construction,4040,77,17335,6,Landfill,2119,16,Kolkata Landfill,"16.068, 72.6096",80985,2023
Kolkata,Hazardous,956,81,17335,9,Landfill,673,10,Kolkata Landfill,"16.068, 72.6096",80985,2023
Hyderabad,Plastic,5089,66,7927,6,Recycling,1103,10,Hyderabad Landfill,"34.069, 82.1518",34239,2019
Hyderabad,Organic,588,32,7927,6,Incineration,3131,5,Hyderabad Landfill,"34.069, 82.1518",34239,2019
Hyderabad,E-Waste,6487,37,7927,9,Incineration,2065,0,Hyderabad Landfill,"34.069, 82.1518",34239,2019
Hyderabad,Construction,2163,52,7927,5,Incineration,2206,7,Hyderabad Landfill,"34.069, 82.1518",34239,2019
Hyderabad,Hazardous,1887,48,7927,7,Composting,3526,17,Hyderabad Landfill,"34.069, 82.1518",34239,2019
Hyderabad,Plastic,3899,59,7927,7,Incineration,2812,5,Hyderabad Landfill,"34.069, 82.1518",34239,2020
Hyderabad,Organic,7422,73,7927,9,Landfill,3646,19,Hyderabad Landfill,"34.069, 82.1518",34239,2020
Hyderabad,E-Waste,2765,39,7927,7,Recycling,1602,15,Hyderabad Landfill,"34.069, 82.1518",34239,2020
Hyderabad,Construction,5337,72,7927,7,Composting,4205,2,Hyderabad Landfill,"34.069, 82.1518",34239,2020
Hyderabad,Hazardous,1713,85,7927,5,Incineration,4307,17,Hyderabad Landfill,"34.069, 82.1518",34239,2020
Hyderabad,Plastic,7858,79,7927,7,Composting,3494,8,Hyderabad Landfill,"34.069, 82.1518",34239,2021
Hyderabad,Organic,6905,46,7927,5,Incineration,1624,2,Hyderabad Landfill,"34.069, 82.1518",34239,2021
Hyderabad,E-Waste,1285,72,7927,9,Incineration,1411,19,Hyderabad Landfill,"34.069, 82.1518",34239,2021
Hyderabad,Construction,805,34,7927,6,Recycling,1077,11,Hyderabad Landfill,"34.069, 82.1518",34239,2021
Hyderabad,Hazardous,742,83,7927,5,Composting,2985,12,Hyderabad Landfill,"34.069, 82.1518",34239,2021
Hyderabad,Plastic,5774,48,7927,6,Incineration,3095,7,Hyderabad Landfill,"34.069, 82.1518",34239,2022
Hyderabad,Organic,1013,80,7927,8,Composting,823,3,Hyderabad Landfill,"34.069, 82.1518",34239,2022
Hyderabad,E-Waste,708,42,7927,6,Landfill,1987,0,Hyderabad Landfill,"34.069, 82.1518",34239,2022
Hyderabad,Construction,2667,39,7927,6,Incineration,4911,4,Hyderabad Landfill,"34.069, 82.1518",34239,2022
Hyderabad,Hazardous,8430,82,7927,7,Landfill,706,3,Hyderabad Landfill,"34.069, 82.1518",34239,2022
Hyderabad,Plastic,4495,51,7927,5,Composting,1787,10,Hyderabad Landfill,"34.069, 82.1518",34239,2023
Hyderabad,Organic,1514,44,7927,7,Incineration,4521,3,Hyderabad Landfill,"34.069, 82.1518",34239,2023
Hyderabad,E-Waste,1598,61,7927,8,Landfill,3658,4,Hyderabad Landfill,"34.069, 82.1518",34239,2023
Hyderabad,Construction,4204,31,7927,8,Incineration,2208,8,Hyderabad Landfill,"34.069, 82.1518",34239,2023
Hyderabad,Hazardous,4592,69,7927,10,Composting,4701,12,Hyderabad Landfill,"34.069, 82.1518",34239,2023
Pune,Plastic,8897,48,12547,6,Incineration,4355,15,Pune Landfill,"28.7237, 84.2278",49524,2019
Pune,Organic,8028,68,12547,8,Composting,3502,19,Pune Landfill,"28.7237, 84.2278",49524,2019
Pune,E-Waste,3125,36,12547,7,Recycling,969,14,Pune Landfill,"28.7237, 84.2278",49524,2019
Pune,Construction,9857,62,12547,7,Landfill,2667,12,Pune Landfill,"28.7237, 84.2278",49524,2019
Pune,Hazardous,5547,46,12547,7,Composting,1229,11,Pune Landfill,"28.7237, 84.2278",49524,2019
Pune,Plastic,2280,52,12547,9,Landfill,2575,6,Pune Landfill,"28.7237, 84.2278",49524,2020
Pune,Organic,1926,53,12547,9,Recycling,3238,19,Pune Landfill,"28.7237, 84.2278",49524,2020
Pune,E-Waste,8098,36,12547,9,Incineration,2009,5,Pune Landfill,"28.7237, 84.2278",49524,2020
Pune,Construction,1089,85,12547,6,Composting,798,14,Pune Landfill,"28.7237, 84.2278",49524,2020
Pune,Hazardous,8742,61,12547,5,Landfill,2713,13,Pune Landfill,"28.7237, 84.2278",49524,2020
Pune,Plastic,4485,66,12547,8,Landfill,3069,11,Pune Landfill,"28.7237, 84.2278",49524,2021
Pune,Organic,6145,44,12547,5,Composting,1707,6,Pune Landfill,"28.7237, 84.2278",49524,2021
Pune,E-Waste,8407,61,12547,6,Composting,3974,3,Pune Landfill,"28.7237, 84.2278",49524,2021
Pune,Construction,511,33,12547,5,Recycling,1998,6,Pune Landfill,"28.7237, 84.2278",49524,2021
Pune,Hazardous,1623,57,12547,5,Composting,3589,20,Pune Landfill,"28.7237, 84.2278",49524,2021
Pune,Plastic,3578,39,12547,7,Recycling,2681,11,Pune Landfill,"28.7237, 84.2278",49524,2022
Pune,Organic,7921,69,12547,7,Incineration,3569,7,Pune Landfill,"28.7237, 84.2278",49524,2022
Pune,E-Waste,9741,75,12547,10,Incineration,4988,1,Pune Landfill,"28.7237, 84.2278",49524,2022
Pune,Construction,4804,36,12547,6,Composting,3338,13,Pune Landfill,"28.7237, 84.2278",49524,2022
Pune,Hazardous,8508,55,12547,10,Incineration,3321,7,Pune Landfill,"28.7237, 84.2278",49524,2022
Pune,Plastic,5594,76,12547,5,Landfill,4656,8,Pune Landfill,"28.7237, 84.2278",49524,2023
Pune,Organic,3851,83,12547,6,Recycling,3334,12,Pune Landfill,"28.7237, 84.2278",49524,2023
Pune,E-Waste,8611,30,12547,9,Incineration,1359,5,Pune Landfill,"28.7237, 84.2278",49524,2023
Pune,Construction,2012,45,12547,10,Landfill,2368,6,Pune Landfill,"28.7237, 84.2278",49524,2023
Pune,Hazardous,9234,31,12547,7,Landfill,2438,15,Pune Landfill,"28.7237, 84.2278",49524,2023
Ahmedabad,Plastic,9807,67,9464,5,Landfill,4632,17,Ahmedabad Landfill,"19.3868, 72.7845",69399,2019
Ahmedabad,Organic,1302,56,9464,9,Recycling,673,19,Ahmedabad Landfill,"19.3868, 72.7845",69399,2019
Ahmedabad,E-Waste,6409,76,9464,7,Incineration,2025,2,Ahmedabad Landfill,"19.3868, 72.7845",69399,2019
Ahmedabad,Construction,5933,68,9464,8,Landfill,2882,7,Ahmedabad Landfill,"19.3868, 72.7845",69399,2019
Ahmedabad,Hazardous,2686,81,9464,9,Incineration,1638,9,Ahmedabad Landfill,"19.3868, 72.7845",69399,2019
Ahmedabad,Plastic,5578,55,9464,6,Recycling,2669,12,Ahmedabad Landfill,"19.3868, 72.7845",69399,2020
Ahmedabad,Organic,929,54,9464,6,Incineration,578,12,Ahmedabad Landfill,"19.3868, 72.7845",69399,2020
Ahmedabad,E-Waste,2118,57,9464,5,Composting,3419,11,Ahmedabad Landfill,"19.3868, 72.7845",69399,2020
Ahmedabad,Construction,1658,81,9464,7,Composting,2089,15,Ahmedabad Landfill,"19.3868, 72.7845",69399,2020
